button_confirm,はい
button_cancel,いいえ
button_next,次へ
button_claim,取得
button_bgm,BGM
button_sfx,効果音
button_help,ヘルプ
button_credit,スタッフ
button_language,言語
main_start,開始
settlement_total,総売上
settlement_employee,従業員給与
settlement_netIncome,純利益
settlement_double_info,はんこを使って収益を2倍にしてください！
settlement_double_confirm,はい
settlement_double_cancel,いいえ
shop_employee_category,アルバイト
shop_employee_buy,雇用
shop_upgrade_category,アップグレード
shop_upgrade_buy,購入
panel_empty,空のスロットがあります。\続けますか？
panel_daily,1日に1回出席して\ハンコを獲得してください！\塗装で収入を倍増させることができます！
tutorial_start_ment1,こんにちは！私は店の経営を手伝いに来た「パンチ」です！
tutorial_start_ment2,Playボタンを押してお店に移動してください！
tutorial_start_ment3,まだ組合だけが解禁されています。 組み合わせ台はここにあります。
tutorial_start_ment4,近づいてOpenボタンを押すと調理を始めることができます。 組み合わせ通りに移動してください！
tutorial_start_ment5,まず、ヘルプ ボタンを押して、詳細な調理方法を確認してください。
tutorial_start_ment6,では、注文を受け付けましょう！ 注文が入ると、ここに領?書が表示されます。
tutorial_start_ment7,注文の領?書を押して、詳細を確認してみましょう。
tutorial_start_ment8,これから本番です！ お客?においしいバ?ガ?を提供してください！
tutorial_settlement_ment1,もう10時になって一日の?業が終わりました。
tutorial_settlement_ment2,1日の出席で得られる印鑑で、2倍の補償を受けることができます。
tutorial_settlement_ment3,一度やってみましょうか？ 今回は無料です！
tutorial_settlement_ment4,いいですね！これからお店に行きましょう！
tutorial_dispenser_ment1,ディスペンサ?が解禁されました。 これから?み物を製造できます！
tutorial_dispenser_ment2,"では、お店に行って確認してみましょうか？ 準備が終わったらPlayボタンを押してください！"
tutorial_dispenser_ment3,インスト?ルが完了しましたね！ ディスペンサ?はここにあります。
tutorial_dispenser_ment4,近くに行ってOpenボタンを押してください。
tutorial_grill_ment1,グリルが解禁されました。 これからパティを?くことができます。
tutorial_grill_ment2,準備が終わったらPlayボタンを押してください。
tutorial_grill_ment3,インスト?ルが完了しましたね！ グリルは右側にあります。
tutorial_grill_ment4,グリルに行ってOpenボタンを押してください。
tutorial_prep_ment1,フラップが解禁されました。 いよいよ野菜が食べられますね！
tutorial_prep_ment2,準備が終わったらPlayボタンを押してください。
tutorial_prep_ment3,インスト?ルが完了しましたね！ フラップはここにあります。
tutorial_prep_ment4,近くに行ってOpenボタンを押してください。
tutorial_fryer_ment1,フライヤが解禁されました。 フライドポテトは必須です！
tutorial_fryer_ment2,準備が終わったらPlayボタンを押してください。
tutorial_fryer_ment3,もうすべての設備を整えましたね！ フライヤ?は\ここにあります。
tutorial_fryer_ment4,近くに行ってOpenボタンを押してください。
tutorial_employee_ment1,アルバイト機能が解禁されました。 調理を代わりに任せることができます。
tutorial_employee_ment2,アルバイトタブに移動してください。
tutorial_employee_ment3,ここで?業員雇用カ?ドを購入してみてください。 初めての購入費用は私が差し上げます！
tutorial_employee_ment4,いいですね。では獲得したカ?ドを確認してみましょう。 My Cardを押してください。
tutorial_employee_ment5,おっと！スロットがすべてロックされていますね！ ?業員を登?するには、機能?化によりスロットを?やす必要があります。
tutorial_employee_ment6,アップグレ?ドタブに移動してください。 そこで機能を?化することができます。
tutorial_employee_ment7,Employeeを?化してスロットを開放してください。 今回も初めてなので、無料でさせていただきます！
tutorial_employee_ment8,アップグレ?ドが完了しました！ これからカ?ド管理ウィンドウをもう一度開いてください。
tutorial_employee_ment9,スロットが 1 つオ?プンしました。 これから好きなカ?ドを選?し、?着する必要があります。
tutorial_employee_ment10,装着すると、従業員に業務を指定してもらう必要があります。
tutorial_employee_ment11,準備ができたら、Playボタンを押してお店に移動してください。
tutorial_employee_ment12,スタッフはこちらに表示されます。 スタッフが完成した材料は自動的に組合台に追加されます。
tutorial_employee_ment13,業員 アイコンをクリックすると、タスクを停止できます。
tutorial_employee_ment14,従業員に1日の手当を支払う必要があること、注意してください！
tutorial_employee_ment15,さあ、本番です！ 幸運を祈ります！
tutorial_employee_error,通常はスロットに何も入れなくてもいいのですが、今回は案?のために?着していただいた方がいいですね！
help_receipt_ment1,一定周期ごとにお客?が注文をします。 注文が早く解消されるほど、お客?の訪問が早くなります。
help_receipt_ment2,ハートゲージがすべて消えると、お客様が立ち去ります。
help_receipt_ment3,お客様の領収書を押すと、詳細情報が確認できます。
help_receipt_ment4,下段に価格が表示されます。「泥棒」はお金をくれません。
help_plating_ment1,製造を開始する前にレシピを確認します。 注文が入ると\左上に注文領?書が表記されます。
help_plating_ment2,注文の領?書を押すと、詳細情報が確認できます。 注文をよく確認してください！ 泥棒はお金をくれません！
help_plating_ment3,レシピ順に材料を積んで料理を完成させなさい。 右下の\ゴミ箱ボタンを押して、作り間違えた料理を捨てることができます。
help_plating_ment4,料理が出?上がりましたら、ベルを押してお客?にお?えください。 完成した料理がレシピと異なる場合、材料は元の?態に?ります。
help_dispenser_ment1,動くカップが好きな?み物の位置にある時、\PUSHボタンを押して止まると?み物が出て、\PUSHボタンを押して?み物を手に入れることができます！
help_dispenser_ment2,飲み物を手に入れた後、もう一度PUSHボタンを押すとカップが生成されます。
