button_confirm,확인
button_cancel,취소
button_next,다음
main_start,시작
setting_language,언어
setting_bgm,배경음
setting_sfx,효과음
setting_help,도움말
shop_hire_category,고용
shop_hire_buy,고용하기
shop_upgrade_category,조리도구
shop_upgrade_buy,구입
tutorial_start_ment1,안녕하세요! 저는 가게 운영을 도와주러 온 팬치입니다! 
tutorial_start_ment2,Play 버튼을 눌러 가게로 이동하세요!
tutorial_start_ment3,아직은 조합대만 해금되어 있어요. 조합대는 여기에 있습니다.
tutorial_start_ment4,가까이 다가가서 Open 버튼을 누르면 조리를 시작할 수 있습니다.
tutorial_start_ment5,조리 방법이 궁금하시다면 도움말 버튼을 눌러 자세한 조리 방법을 확인할 수 있어요.
tutorial_start_ment6,주문이 들어오면 이곳에 영수증이 표시됩니다.
tutorial_start_ment7,주문 영수증을 눌러 자세한 정보를 확인할 수 있습니다.
tutorial_start_ment8,이제 실전입니다! 손님들에게 맛있는 버거를 제공하세요!
tutorial_dispenser_ment1,디스펜서가 해금되었습니다. 이제부터 음료수를 제조할 수 있습니다!
tutorial_dispenser_ment2,디스펜서의 위치는 이곳입니다.
tutorial_grill_ment1,그릴이 해금되었습니다. 이제부터 패티를 구울 수 있습니다.
tutorial_grill_ment2,그릴의 위치는 이곳입니다.
tutorial_employee_ment1,아르바이트 기능이 해금되었습니다. 조리를 대신 맡길 수 있습니다.
tutorial_employee_ment2,고용 탭으로 이동해 주세요.
tutorial_employee_ment3,이곳에서 아르바이트를 고용할 수 있습니다.
tutorial_employee_ment4,카드 관리창을 열어 획득한 카드들을 관리할 수 있습니다.
tutorial_employee_ment5,아르바이트를 사용하기 위해서는 기능 강화를 통해 슬롯을 늘려야 합니다.
tutorial_employee_ment6,업그레이드 탭으로 이동하세요. 그곳에서 기능을 강화시킬 수 있습니다.
tutorial_employee_ment7,Employee를 업그레이드 해 슬롯이 확장시키세요.
tutorial_employee_ment8,업그레이드가 완료되었습니다! 이제 카드 관리창을 다시 열어주세요.
tutorial_employee_ment9,"이제 원하는 카드를 선택하고, 장착해주세요."
tutorial_employee_ment10,장착한 아르바이트에게 업무를 지정해 주어야 합니다. 업무를 선택 해 주세요.
tutorial_employee_ment11,모든 준비가 끝났습니다. 이제 이 가게를 최고의 가게로 만들어 주세요!
help_receipt_ment1,"일정 주기마다 손님이 주문을 합니다. 주문이 빨리 해소될수록, 손님의 방문이 빨라집니다."
help_receipt_ment2,하트 게이지가 다 사라지게 되면 손님이 떠나게 됩니다.
help_receipt_ment3,손님의 영수증을 누르면 자세한 정보를 확인할 수 있습니다. 
help_receipt_ment4,하단에 가격이 표시됩니다. 강도는 돈을 주지 않습니다.
help_plating_ment1,레시피와 동일한 순서대로 쌓아 재료를 조합해주세요.
help_plating_ment2,제조한 재료들은 이곳에 추가됩니다.
help_plating_ment3,"조합이 완료되면 벨을 눌러 서빙을 완료할 수 있습니다. 레시피가 틀리면, 재료들이 원위치됩니다."
help_employee_ment1,아르바이트는 이곳에 표시 됩니다. 아르바이트를 눌러 작업을 중단시킬 수 있습니다.
